taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,16,400000,URMA_WRITE,7,10ns,0,
1,1,17,400000,URMA_WRITE,7,10ns,0,
2,2,18,400000,URMA_WRITE,7,10ns,0,
3,3,19,400000,URMA_WRITE,7,10ns,0,
4,4,20,400000,URMA_WRITE,7,10ns,0,
5,5,21,400000,URMA_WRITE,7,10ns,0,
6,6,22,400000,URMA_WRITE,7,10ns,0,
7,7,23,400000,URMA_WRITE,7,10ns,0,
