nodeId,dstNodeId,dstPortId,outPorts,metrics
0,1,0,0,2
0,2,0,0,2
0,3,0,0,2
0,4,0,0,2
0,5,0,0,2
0,6,0,0,2
0,7,0,0,2
0,8,0,0,4
0,9,0,0,4
0,10,0,0,4
0,11,0,0,4
0,12,0,0,4
0,13,0,0,4
0,14,0,0,4
0,15,0,0,4
0,16,0,0,4
0,17,0,0,4
0,18,0,0,4
0,19,0,0,4
0,20,0,0,4
0,21,0,0,4
0,22,0,0,4
0,23,0,0,4
0,24,0,0,4
0,25,0,0,4
0,26,0,0,4
0,27,0,0,4
0,28,0,0,4
0,29,0,0,4
0,30,0,0,4
0,31,0,0,4
1,0,0,0,2
1,2,0,0,2
1,3,0,0,2
1,4,0,0,2
1,5,0,0,2
1,6,0,0,2
1,7,0,0,2
1,8,0,0,4
1,9,0,0,4
1,10,0,0,4
1,11,0,0,4
1,12,0,0,4
1,13,0,0,4
1,14,0,0,4
1,15,0,0,4
1,16,0,0,4
1,17,0,0,4
1,18,0,0,4
1,19,0,0,4
1,20,0,0,4
1,21,0,0,4
1,22,0,0,4
1,23,0,0,4
1,24,0,0,4
1,25,0,0,4
1,26,0,0,4
1,27,0,0,4
1,28,0,0,4
1,29,0,0,4
1,30,0,0,4
1,31,0,0,4
2,0,0,0,2
2,1,0,0,2
2,3,0,0,2
2,4,0,0,2
2,5,0,0,2
2,6,0,0,2
2,7,0,0,2
2,8,0,0,4
2,9,0,0,4
2,10,0,0,4
2,11,0,0,4
2,12,0,0,4
2,13,0,0,4
2,14,0,0,4
2,15,0,0,4
2,16,0,0,4
2,17,0,0,4
2,18,0,0,4
2,19,0,0,4
2,20,0,0,4
2,21,0,0,4
2,22,0,0,4
2,23,0,0,4
2,24,0,0,4
2,25,0,0,4
2,26,0,0,4
2,27,0,0,4
2,28,0,0,4
2,29,0,0,4
2,30,0,0,4
2,31,0,0,4
3,0,0,0,2
3,1,0,0,2
3,2,0,0,2
3,4,0,0,2
3,5,0,0,2
3,6,0,0,2
3,7,0,0,2
3,8,0,0,4
3,9,0,0,4
3,10,0,0,4
3,11,0,0,4
3,12,0,0,4
3,13,0,0,4
3,14,0,0,4
3,15,0,0,4
3,16,0,0,4
3,17,0,0,4
3,18,0,0,4
3,19,0,0,4
3,20,0,0,4
3,21,0,0,4
3,22,0,0,4
3,23,0,0,4
3,24,0,0,4
3,25,0,0,4
3,26,0,0,4
3,27,0,0,4
3,28,0,0,4
3,29,0,0,4
3,30,0,0,4
3,31,0,0,4
4,0,0,0,2
4,1,0,0,2
4,2,0,0,2
4,3,0,0,2
4,5,0,0,2
4,6,0,0,2
4,7,0,0,2
4,8,0,0,4
4,9,0,0,4
4,10,0,0,4
4,11,0,0,4
4,12,0,0,4
4,13,0,0,4
4,14,0,0,4
4,15,0,0,4
4,16,0,0,4
4,17,0,0,4
4,18,0,0,4
