taskId,sourceNode,destNode,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,2,1250000000,URMA_WRITE,7,0ns,0,
1,1,2,1250000000,URMA_WRITE,7,10ms,0,
