bin_start_us,time_ms,voq_KB,egress_KB,total_KB,flow_0_Gbps,flow_1_Gbps,sum_Gbps
68000.0,68.0,65.87890625,1.541015625,67.419921875,22.117408,17.888336,40.005744
69000.0,69.0,67.419921875,1.541015625,68.9609375,21.979104,17.534864,39.513968
70000.0,70.0,7.705078125,1.541015625,9.24609375,22.352992,18.162912,40.515904
71000.0,71.0,68.9609375,1.541015625,70.501953125,21.919696,17.736848,39.656544
72000.0,72.0,27.806640625,1.541015625,29.34765625,21.249504,18.263904,39.513408
73000.0,73.0,6.232421875,1.541015625,7.7734375,21.189536,18.879328,40.068864000000005
74000.0,74.0,15.41015625,1.541015625,16.951171875,20.245888,19.630464,39.876352
75000.0,75.0,1.541015625,1.541015625,3.08203125,19.64624,20.396816,40.043056
76000.0,76.0,25.744140625,1.541015625,27.28515625,19.33064,20.890272,40.220912
77000.0,77.0,52.462890625,0.0,52.462890625,19.07816,20.258512,39.336672
78000.0,78.0,0.0,0.0,0.0,19.794576,18.976608,38.771184
79000.0,79.0,1.541015625,0.0,1.541015625,20.573552,19.621552,40.195104
80000.0,80.0,31.908203125,1.541015625,33.44921875,21.152224,18.828832,39.981055999999995
81000.0,81.0,29.34765625,1.541015625,30.888671875,20.873936,18.702592,39.576527999999996
82000.0,82.0,3.08203125,0.0,3.08203125,21.176912,19.166528,40.34344
83000.0,83.0,44.7578125,1.541015625,46.298828125,21.0128,18.56688,39.579679999999996
84000.0,84.0,1.541015625,1.541015625,3.08203125,21.737568,18.989792,40.727360000000004
85000.0,85.0,90.08203125,1.541015625,91.623046875,20.739344,18.390144,39.129487999999995
86000.0,86.0,1.541015625,0.0,1.541015625,21.29944,19.018192,40.317632
87000.0,87.0,38.072265625,1.541015625,39.61328125,20.561488,19.55472,40.116208
88000.0,88.0,55.091796875,1.541015625,56.6328125,19.318576,19.971312,39.289888000000005
89000.0,89.0,3.08203125,1.541015625,4.623046875,20.072304,20.40944,40.481744
90000.0,90.0,59.71484375,1.541015625,61.255859375,19.579968,19.167088,38.747056
91000.0,91.0,0.0,0.0,0.0,20.198544,19.983936,40.18248
92000.0,92.0,29.34765625,1.541015625,30.888671875,19.516848,20.53568,40.052527999999995
93000.0,93.0,34.990234375,1.541015625,36.53125,18.9172,20.562048,39.479248
94000.0,94.0,0.0,0.0,0.0,18.79096,20.88656,39.67752
95000.0,95.0,9.24609375,1.541015625,10.787109375,19.103408,21.526672,40.63008000000001
96000.0,96.0,85.912109375,1.541015625,87.453125,18.929824,20.28432,39.214144000000005
97000.0,97.0,0.0,0.0,0.0,18.12504,20.097552,38.222592
98000.0,98.0,1.541015625,0.0,1.541015625,18.904576,20.861312,39.765888000000004
99000.0,99.0,12.328125,1.541015625,13.869140625,18.904576,21.227408,40.131984
100000.0,100.0,29.34765625,1.541015625,30.888671875,18.200784,21.662384,39.863168
101000.0,101.0,11.875,1.541015625,13.416015625,17.948304,22.369888,40.318191999999996
102000.0,102.0,48.859375,1.541015625,50.400390625,17.913584,21.262688,39.176272
103000.0,103.0,0.0,0.0,0.0,18.66472,21.126416,39.791135999999995
104000.0,104.0,12.396484375,1.541015625,13.9375,19.419008,20.936496,40.355504
105000.0,105.0,55.091796875,1.541015625,56.6328125,19.355888,19.659424,39.015312
106000.0,106.0,1.541015625,0.0,1.541015625,19.718832,20.384752,40.103584
107000.0,107.0,15.41015625,1.541015625,16.951171875,18.879328,21.000176,39.879504
108000.0,108.0,16.951171875,1.541015625,18.4921875,19.305392,21.311504,40.616896
109000.0,109.0,91.623046875,1.541015625,93.1640625,17.698976,20.714096,38.413072
110000.0,110.0,1.541015625,0.0,1.541015625,18.25128,21.36312,39.6144
111000.0,111.0,6.1640625,1.541015625,7.705078125,18.803584,21.286816,40.0904
112000.0,112.0,18.0390625,1.541015625,19.580078125,19.26752,19.87088,39.138400000000004
113000.0,113.0,0.0,0.0,0.0,19.895568,20.47256,40.368128
114000.0,114.0,45.845703125,1.541015625,47.38671875,18.967696,20.877648,39.845344
115000.0,115.0,27.73828125,1.541015625,29.279296875,17.960928,21.451488,39.412416
116000.0,116.0,1.541015625,1.541015625,3.08203125,18.415392,21.864368,40.279759999999996
117000.0,117.0,36.53125,1.541015625,38.072265625,17.572736,22.332576,39.905311999999995
118000.0,118.0,27.73828125,0.068359375,27.806640625,17.373904,22.968976,40.34288
119000.0,119.0,65.87890625,1.541015625,67.419921875,17.320256,22.732832,40.053088
120000.0,120.0,72.04296875,1.541015625,73.583984375,17.399152,22.28208,39.681232
121000.0,121.0,33.970703125,1.541015625,35.51171875,16.868944,21.527232,38.396176
122000.0,122.0,0.0,0.0,0.0,17.635856,22.277808,39.913664
123000.0,123.0,13.416015625,1.541015625,14.95703125,18.402768,21.830768,40.233536
124000.0,124.0,43.216796875,1.541015625,44.7578125,18.563728,21.29944,39.863168
125000.0,125.0,27.28515625,1.541015625,28.826171875,18.929824,21.240592,40.170416
126000.0,126.0,47.83984375,1.541015625,49.380859375,19.706208,19.958688,39.664896
127000.0,127.0,7.705078125,1.541015625,9.24609375,19.971312,20.258512,40.229824
128000.0,128.0,35.51171875,1.541015625,37.052734375,19.857696,20.047056,39.904752
129000.0,129.0,21.57421875,1.541015625,23.115234375,20.160672,20.519344,40.680016
130000.0,130.0,107.1015625,1.541015625,108.642578125,19.292768,19.672608,38.965376
131000.0,131.0,0.0,0.0,0.0,19.368512,20.271136,39.639647999999994
132000.0,132.0,6.1640625,1.541015625,7.705078125,19.343264,20.873376,40.21664
133000.0,133.0,34.990234375,1.541015625,36.53125,18.740464,21.038608,39.779072
134000.0,134.0,7.7734375,1.541015625,9.314453125,18.525856,21.39152,39.917376000000004
135000.0,135.0,1.541015625,1.541015625,3.08203125,18.428016,21.64976,40.077776
136000.0,136.0,22.662109375,1.541015625,24.203125,18.175536,21.957008,40.132543999999996
137000.0,137.0,40.134765625,1.541015625,41.67578125,18.428016,21.350496,39.778512
138000.0,138.0,12.328125,1.541015625,13.869140625,18.47536,21.889616,40.364976
139000.0,139.0,56.6328125,1.541015625,58.173828125,18.44064,21.240592,39.681231999999994
140000.0,140.0,20.033203125,1.541015625,21.57421875,18.53848,21.36312,39.9016
141000.0,141.0,7.705078125,1.541015625,9.24609375,18.626848,21.842272,40.469120000000004
142000.0,142.0,64.337890625,1.541015625,65.87890625,17.825216,21.599824,39.42504
143000.0,143.0,0.0,0.0,0.0,17.121424,22.045376,39.1668
144000.0,144.0,1.541015625,0.0,1.541015625,17.90096,22.492416,40.393376
145000.0,145.0,48.859375,1.541015625,50.400390625,18.036672,21.704528,39.7412
146000.0,146.0,16.951171875,1.541015625,18.4921875,18.428016,21.337872,39.765888000000004
147000.0,147.0,3.08203125,0.0,3.08203125,18.85408,21.665536,40.519616
148000.0,148.0,62.796875,1.541015625,64.337890625,17.93568,22.079536,40.015216
149000.0,149.0,65.87890625,1.541015625,67.419921875,16.8216,22.619776,39.441376000000005
150000.0,150.0,4.623046875,1.541015625,6.1640625,17.45912,23.069968,40.529088
